meanPX222 meanPY  meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2510.76 1136.78 1.14526 0.0010762 0.0398961 6.03117e-08 -169.744 0.0570344 30352.5 2.56261
2456.55 1151.32 1.16597 0.000349711 0.283093 5.72022e-08 -170.345 0.0395445 28126.3 2.65552
2447.62 1154.47 1.18169 0.000372451 0.207344 1.50716e-07 -173.895 0.0811525 23106.4 2.81501
2384.25 1136.53 1.20435 0.00259692 0.0952372 7.70857e-08 -173.822 0.0720169 27404.7 2.99227
2278.29 1134.64 1.23431 0.000233964 0.062957 1.31089e-07 -176.393 0.0567048 22726.1 2.72508
2233.38 1142.6 1.24411 0.00270278 0.00298047 3.49934e-08 175.629 0.0480772 21561.1 2.70322
2160.27 1096.62 1.23991 0.0119609 0.000508258 1.15482e-08 165.233 0.0421762 27072.9 2.95134
2116.3 1096.2 1.22171 0.0107896 0.0112177 7.90573e-09 153.29 0.031634 24693.2 2.95183
2033.64 1134.49 1.23567 0.00831869 0.0275137 5.99888e-09 141.463 0.0251987 25329.5 2.60026
2015.18 1157.25 1.21955 1.43995e-05 0.00689005 3.49915e-08 138.766 0.0228671 27424.8 2.50111
1965.01 1224.45 1.21753 0.0161977 0.0165714 1.5995e-07 133.86 0.0250353 28225.6 2.61365
1946.36 1250.92 1.18946 0.0367624 0.0167943 4.02333e-08 128.377 0.0148534 20130.9 2.76175
1912 1295.65 1.20159 0.0384726 0.0197004 2.68508e-08 120.872 0.0111637 22533.7 2.87315
1911.27 1322 1.17852 0.00151116 0.0109487 4.64728e-08 121.487 0.0115745 27983.8 2.60334
1886.12 1409.9 1.2131 0.000446787 0.00750647 6.77922e-08 122.305 0.0102966 27523.2 2.4503
1864.67 1450.23 1.18555 0.00156349 0.00113493 2.0163e-07 123.334 0.0122336 27071.1 2.73792
1819.61 1529.58 1.21161 0.00152963 0.00159295 2.29136e-07 123.386 0.0114251 31218.6 2.70966
1772.5 1553.91 1.20056 0.236451 0.608345 8.13711e-07 124.428 0.0120755 30645.2 2.88534
1713.44 1573.25 1.17806 0.0823329 0.357613 3.46286e-07 126.656 0.0134282 24446.2 2.81655
1701.61 1619.03 1.18166 0.0355208 0.0159104 2.83516e-08 124.46 0.0152834 27142.2 2.72694
1641.84 1680.33 1.21288 0.0151211 0.00858168 4.14176e-08 125.925 0.0153877 30016.6 2.82191
1614.25 1673.7 1.15278 0.00907104 0.000315562 3.17505e-08 128.116 0.0137485 22541.3 2.87907
1581.09 1696.53 1.12524 0.000198083 0.000506172 5.14423e-08 126.287 0.0149991 20111.5 2.62939
1552.68 1735.88 1.13919 0.00230517 0.000548876 1.33031e-07 126.685 0.0166024 24935.7 2.62062
1534.25 1704.65 1.08197 0.020124 0.0275004 2.00854e-07 120.601 0.0108221 13742.4 2.92312
1488.17 1724.08 1.06129 0.171506 0.148619 5.28916e-07 113.892 0.00936703 21076.7 2.89866
1449.49 1748.48 1.05394 0.788241 0.633326 1.79106e-06 109.221 0.00832735 26206.2 2.6497
1420.93 1787.62 1.03809 0.627941 0.000666839 1.02063e-06 103.564 0.0074219 21638.4 2.4413
1433.62 1842.75 1.04996 0.0113873 0.480163 4.46885e-07 97.4928 0.00979743 27340.1 2.69035
1437.59 1887.29 1.03825 0.105919 0.0320963 2.04537e-07 91.4994 0.00894372 22167.7 2.84699
1442.17 1914.71 1.01905 2.29922 0.905513 3.34778e-06 88.783 0.00918579 28139.3 2.74757
1461.86 1947.04 1.0182 3.04452 1.38593 4.46892e-06 89.4198 0.00730483 27765.1 2.64254
1480.85 1993.83 1.00068 0.000335241 0.0277575 5.36921e-08 89.9151 0.00828533 28196.7 2.80797
1499.49 2029.97 0.997016 0.000833947 0.029117 7.94217e-08 90.0406 0.00733675 32267.5 2.67974
1506.81 2034.62 1.01072 2.69608e-06 0.03313 1.91356e-07 88.2248 0.00800395 32934.2 2.69218
1513.31 2090.56 1.00052 0.00164408 0.0154701 8.0077e-08 91.1967 0.0107245 29351.3 2.74617
