meanPX222 meanPY  meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
3121.15 1651.36 0.961699 0.404754 0.00654309 4.40492e-11 -108.762 0.0119823 22065.4 2.49102
3104.04 1593.76 0.957184 1.69165 0.0124407 3.70871e-08 -113.602 0.0100512 25613.5 2.59479
3092.62 1537.43 0.967914 0.434081 0.000994217 9.50884e-10 -117.73 0.00975128 26774.3 2.96387
3071.72 1481.21 0.970908 0.00889414 0.0338675 7.20033e-09 -121.962 0.0093255 29322.1 2.91377
3050.38 1422.9 0.974787 0.0324515 0.0689488 6.33329e-09 -128.029 0.00951313 31092.4 2.21394
3031.27 1339.53 0.993071 0.0464721 0.0878575 9.07783e-10 -138.219 0.0109438 32573.8 2.14724
3005.42 1282.41 0.994326 0.0432536 0.0730061 7.84606e-09 -146.459 0.0118461 32679.6 2.3059
2980.51 1229.11 1.00431 0.000910622 0.0749517 1.50394e-07 -153.181 0.0113358 30103.5 2.23349
2916.8 1200.24 1.01674 0.0133283 0.0804184 1.02247e-07 -151.216 0.0124481 33631.3 2.30958
2907.87 1203.41 1.02011 0.0173596 0.0570616 9.04517e-08 -144.519 0.0937271 24546 2.27982
2852.99 1155.53 1.04476 0.0362252 0.000823263 9.03033e-08 -152.805 0.0639798 27069.7 2.31266
2843.06 1145.21 1.06645 0.10632 0.0142679 2.49197e-07 -160.348 0.0877291 16955.3 2.38217
2804.8 1138.33 1.06287 0.0568149 0.000129287 6.63182e-08 -170.484 0.0757717 22823.6 2.73018
2771.02 1128.06 1.07624 0.103819 0.0376314 4.21883e-07 -165.806 0.072408 26313 2.65121
2697.46 1131.69 1.10329 0.048028 0.00702102 2.54534e-07 -168.786 0.0609029 29308.6 2.82686
2611.98 1139.35 1.10807 0.100199 0.00718318 4.00468e-07 -173.102 0.049259 30237.2 2.89388
2575.97 1164.28 1.12572 0.0880009 0.0140988 3.44418e-07 -173.371 0.0464559 31267.8 2.86649
2499.12 1155.82 1.15283 0.117992 0.00983789 4.896e-07 -174.678 0.0501348 30237.3 2.65331
2440.72 1183.45 1.17908 0.146847 0.0278593 4.8502e-07 -175.558 0.0322663 29615.1 2.60766
